,ZONA_O,ZONA_D,FE_VIA
351,FAAP,Emissário,7
352,Penha,João Teodoro,7
353,Canindé,Orfanato,7
354,Portal do Morumbi,Gavião Peixoto,7
355,Jóquei Clube,Bandeirantes,7
356,Tucuruvi,João Teodoro,7
357,Ladeira da Memória,João Teodoro,7
358,Tietê,Gavião Peixoto,7
359,Perdizes,Jóquei Clube,7
360,Independência,Tietê,7
361,Vila Socorro,CEASA,7
362,Jóquei Clube,Bom Jardim,7
363,Rudge,Jóquei Clube,7
364,Celso Garcia,Canindé,7
365,Liberdade,Jóquei Clube,7
366,Gavião Peixoto,Jabaquara,7
367,Berrini,Santa Cecília,7
368,Regente Feijó,Canindé,8
369,Jardim Ângela,Carandiru,8
370,Carandiru,Jardim Anália Franco,8
371,Jardim Luzitânia,Parque Novo Mundo,8
372,Gomes Cardim,João Teodoro,8
373,Jardim Luzitânia,Praça João Mendes,8
374,Liberdade,João Teodoro,8
375,Vila Matilde,Bom Jardim,8
376,João Teodoro,Santa Cecília,8
377,Canindé,Alto da Moóca,8
378,Carandiru,Jardim Ângela,8
379,Jardim Anália Franco,Carandiru,8
380,Vila Matilde,João Teodoro,8
381,João Teodoro,Cidade Universitária,8
382,Oriente,Pacaembu,8
383,Tiquatira,Canindé,8
384,Carandiru,Liberdade,8
385,Pacaembu,Oriente,8
386,Regente Feijó,Bom Jardim,8
387,Carandiru,Independência,8
388,Alto da Moóca,Canindé,8
389,Parque da Moóca,Canindé,8
390,Santa Cecília,Cidade Universitária,8
391,Bom Jardim,Bom Retiro,8
392,João Teodoro,Liberdade,8
393,João Teodoro,Gomes Cardim,8
394,João Teodoro,Tietê,8
395,Carandiru,Canindé,8
396,Canindé,Tiquatira,8
397,Higienópolis,Barra Funda,8
398,Ladeira da Memória,Bom Jardim,8
399,Bom Jardim,Santa Cecília,8
400,Ladeira da Memória,Canindé,8
401,Tietê,Cidade Universitária,8
402,Bom Jardim,Vila São José,8
403,Lapa,Bom Jardim,8
404,Higienópolis,Canindé,8
405,Liberdade,Carandiru,8
406,Cupecê,Canindé,8
407,Cidade Universitária,João Teodoro,8
408,Bela Vista,Carandiru,8
409,Santa Cruz,Carandiru,8
410,Canindé,Regente Feijó,8
411,Trianon,Carandiru,8
412,Belenzinho,Canindé,8
413,Canindé,Casa Verde,8
414,Canindé,Parque da Moóca,8
415,Canindé,Ladeira da Memória,8
416,Canindé,Cupecê,8
417,Bom Jardim,Vila Maria,8
418,Canindé,Higienópolis,8
419,Coroa,Jardim Luzitânia,8
420,Bom Jardim,Vila Matilde,8
421,Canindé,Vila Jaguara,8
422,Independência,Carandiru,8
423,Barra Funda,Higienópolis,8
424,Bom Jardim,Regente Feijó,8
425,Bom Jardim,Jardim Japão,8
426,Bom Jardim,Jardim São Paulo,8
427,Tietê,Parque Ibirapuera,8
428,Bom Jardim,Ladeira da Memória,8
429,Bom Jardim,Lapa,8
430,Tietê,Bela Vista,8
431,Santa Cecília,João Teodoro,8
432,Tietê,João Teodoro,8
433,Jardim São Paulo,Bom Jardim,8
434,Carandiru,Trianon,8
435,Vila Jaguara,Canindé,8
436,Vila Maria,Bom Jardim,8
437,João Teodoro,Tiquatira,8
438,Carandiru,Praça João Mendes,8
