,id_radar,n_acidentes100,n_acidentes250,n_acidentes500,n_acidentes1000,n_acidentes2000
494,622,0.0,0.0,2.0,4.0,21
495,626,0.0,0.0,1.0,3.0,13
496,627,0.0,0.0,2.0,6.0,21
497,629,0.0,0.0,1.0,2.0,17
498,630,0.0,0.0,2.0,4.0,27
499,631,0.0,0.0,1.0,6.0,18
500,632,0.0,0.0,1.0,3.0,10
501,634,0.0,0.0,3.0,5.0,12
502,637,0.0,0.0,1.0,7.0,14
503,639,0.0,0.0,1.0,2.0,22
504,640,0.0,0.0,1.0,3.0,18
505,645,0.0,0.0,1.0,6.0,28
506,647,0.0,0.0,1.0,7.0,12
507,651,0.0,0.0,2.0,5.0,21
508,652,0.0,0.0,2.0,7.0,20
509,653,0.0,0.0,1.0,2.0,7
510,654,0.0,0.0,1.0,6.0,30
511,655,0.0,0.0,3.0,5.0,28
512,657,0.0,0.0,1.0,3.0,14
513,658,0.0,0.0,2.0,4.0,17
514,660,0.0,0.0,3.0,6.0,12
515,663,0.0,0.0,2.0,4.0,24
516,667,0.0,0.0,1.0,1.0,8
517,670,0.0,0.0,1.0,3.0,8
518,673,0.0,0.0,2.0,4.0,18
519,675,0.0,0.0,2.0,8.0,18
520,681,0.0,0.0,1.0,2.0,21
521,682,0.0,0.0,2.0,4.0,23
522,684,0.0,0.0,1.0,5.0,19
523,686,0.0,0.0,1.0,5.0,11
524,687,0.0,0.0,1.0,5.0,11
525,688,0.0,0.0,1.0,3.0,17
526,694,0.0,0.0,2.0,13.0,38
527,702,0.0,0.0,2.0,6.0,15
528,703,0.0,0.0,1.0,3.0,17
529,704,0.0,0.0,2.0,7.0,18
530,705,0.0,0.0,1.0,2.0,8
531,708,0.0,0.0,1.0,3.0,20
532,713,0.0,0.0,1.0,4.0,10
533,717,0.0,0.0,1.0,4.0,14
534,718,0.0,0.0,1.0,13.0,41
535,720,0.0,0.0,1.0,8.0,32
536,722,0.0,0.0,4.0,8.0,18
537,728,0.0,0.0,1.0,4.0,14
538,729,0.0,0.0,1.0,2.0,17
539,738,0.0,0.0,1.0,2.0,4
540,743,0.0,0.0,1.0,3.0,14
541,744,0.0,0.0,1.0,5.0,18
542,750,0.0,0.0,1.0,3.0,8
543,751,0.0,0.0,4.0,6.0,19
544,752,0.0,0.0,1.0,3.0,11
545,753,0.0,0.0,2.0,7.0,14
546,761,0.0,0.0,1.0,2.0,13
547,770,0.0,0.0,1.0,5.0,14
548,782,0.0,0.0,1.0,5.0,17
549,783,0.0,0.0,3.0,3.0,16
550,784,0.0,0.0,2.0,7.0,14
551,793,0.0,0.0,1.0,7.0,19
552,796,0.0,0.0,1.0,4.0,20
553,797,0.0,0.0,3.0,7.0,16
554,798,0.0,0.0,1.0,2.0,19
555,807,0.0,0.0,1.0,3.0,11
556,808,0.0,0.0,1.0,8.0,19
557,809,0.0,0.0,1.0,8.0,16
558,810,0.0,0.0,1.0,4.0,15
559,811,0.0,0.0,2.0,7.0,14
560,813,0.0,0.0,1.0,8.0,19
561,814,0.0,0.0,1.0,7.0,12
562,817,0.0,0.0,3.0,6.0,17
563,822,0.0,0.0,2.0,6.0,16
564,823,0.0,0.0,1.0,7.0,19
565,824,0.0,0.0,1.0,4.0,14
566,827,0.0,0.0,1.0,2.0,9
567,829,0.0,0.0,1.0,7.0,12
568,831,0.0,0.0,1.0,3.0,16
569,838,0.0,0.0,3.0,6.0,17
570,839,0.0,0.0,3.0,6.0,17
571,841,0.0,0.0,1.0,3.0,16
572,843,0.0,0.0,1.0,3.0,11
573,847,0.0,0.0,1.0,6.0,17
574,848,0.0,0.0,1.0,6.0,17
575,850,0.0,0.0,1.0,2.0,9
576,857,0.0,0.0,1.0,8.0,16
577,864,0.0,0.0,3.0,3.0,12
