,id_acidente,latitude,longitude,endereco1,endereco2,data,cod_acid,tipo_acid,feridas,mortas,automovel,caminhonete,carreta,jipe,bicicleta,moto,moto_taxi,micro_onibus,onibus,onibus_urbano,onibus_fretado,caminhao,van,vuc,outros,carroca,sem_informacao
22563,D021601428,-23.54071,-46.46908,AV JOSE PINHEIRO BORGES,nan,2016-02-22 21:40:00,4,Atropelamento,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22564,D021601429,-23.60691,-46.51927,RUA DOS NAVEGADORES,nan,2016-02-16 14:00:00,4,Atropelamento,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22565,D021601430,-23.50091,-46.391890000000004,RUA ITAJUIBE,nan,2016-02-29 20:18:00,2,Colisao lateral,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22566,D021601431,-23.63787,-46.75031,RUA PROF LEITAO DA CUNHA,nan,2016-02-29 16:52:00,2,Colisao,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22567,D021601432,-23.556729999999998,-46.62624,PRACA NINA RODRIGUES,nan,2016-02-10 08:35:00,2,Colisao,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22568,D021601433,-23.519289999999998,-46.65532,RUA BRA DE PORTO CARREIRO,RUA DOS AMERICANOS,2016-02-18 23:25:00,2,Colisao lateral,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22569,D021601434,-23.55826,-46.57732,AV SAPOPEMBA,nan,2016-02-20 22:30:00,2,Colisao,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
22570,D021601435,-23.679560000000002,-46.71206,AV ATLANTICA ANT. ROBERT KENNEDY,nan,2016-02-06 10:08:00,4,Atropelamento,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22571,D021601436,-23.504820000000002,-46.73291,AV DO ANASTACIO,RUA PROF BENEDITO ALARICO DE C. BORELLI,2016-02-27 20:13:00,2,Sem Informacao,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22572,D021601437,-23.50887,-46.599790000000006,RUA CHICO PONTES,nan,2016-02-10 08:40:00,4,Atropelamento,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22573,D021601438,-23.49511,-46.409659999999995,AV MAL TITO,nan,2016-02-20 11:50:00,2,Queda ocupante dentro,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22574,D021601439,-23.53652,-46.5573,AV CD DE FRONTIN,RUA ANTONIO DE BARROS,2016-02-16 04:20:00,2,Colisao traseira,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
