gid,id,lote,codigo,endereco,sentido,referencia,tipo_equip,enquadrame,qtde_fxs_f,data_publi,velocidade,latitude_l,ligado,data_desli,motivo_des,mi_style,mi_prinx,geom,emme_gid,mdc_gid,autuacoes,contagem
493,21,1,6683 - 6896,Av. Otaviano Alves de Lima,Ayrton Senna/Castelo Branco,a mais 290m Ponte Julio de Mesquita Neto,Fixo - Grupo A,V-R-Z,4,2015/02/05 00:00:00.000,60/50 km/h,(-46.67561518261173603 -23.51317416397463944),1,,,"Symbol (62,19424,12,""MapInfo Transportation"",256,0)",601,0101000020E61000006DA9FF837A5647C0F21FD26F5F8337C0,14330,153491,4071641,17694
515,22,1,6685- 6786 - 6693,Av. Morvan Dias de Figueiredo,Ayrton Senna/Castelo Branco,a mais 3m da R. Amazonas da Silva,Fixo - Grupo A,V-R-Z-EX,5,2015/01/31 00:00:00.000,60/50 km/h,(-46.61332212795088026 -23.52072432670681223),1,,,"Symbol (62,19424,12,""MapInfo Transportation"",256,0)",623,0101000020E61000006AF5D555814E47C0C628F83B4E8537C0,16941,157126,4962528,18097
175,23,1,6686,Av. Mariana Caligiori Ronchetti,Centro/Bairro,nº. 202A,Fixo - Grupo A,V,1,2014/10/04 00:00:00.000,50 km/h,(-46.65422158260855667 -23.46284416770205894),1,,,"Symbol (62,19424,12,""MapInfo Transportation"",256,0)",268,0101000020E61000003343918BBD5347C0B4FF43F27C7637C0,14325,83947,228426,47
177,24,1,6687,Av. Mariana Caligiori Ronchetti,Bairro/Centro,a menos 20m nº. 237,Fixo - Grupo A,V,1,2014/10/17 00:00:00.000,50 km/h,(-46.6539665888209214 -23.46226685217750685),1,,,"Symbol (62,19424,12,""MapInfo Transportation"",256,0)",270,0101000020E61000005BA17A31B55347C097D1FA21577637C0,14325,175326,373356,125
887,25,1,7088-7089,Av. Engenheiro Caetano Alvares,Centro/Bairro,nº 3142,Fixo - Grupo A,V,2,2017/03/07 00:00:00.000,50 km/h,(-23.491567 -46.655912),1,,,,1006,0101000020E61000004AAE1A37F45347C01E8D5B15D77D37C0,4410,188711,1362571,746
883,26,1,6970-6971,Av. Luiz Dumont Villares,Bairro/Centro,a menos 62m da Rua Sargento Mor Ramalho,Fixo - Grupo A,V-EX,5,2016/07/30 00:00:00.000,50 km/h,(-23.490784 -46.610747),1,,,,1002,0101000020E6100000CBD8A409294E47C00D7D91AB967D37C0,2529,176379,1590464,2956
178,27,1,6738,Estr. de Perus,Anhanguera / Perus,a menos 20m nº. 1.600,Fixo - Grupo A,V,1,2014/12/05 00:00:00.000,50 km/h,(-46.77624230864640964 -23.41040360936281672),1,,,"Symbol (62,19424,12,""MapInfo Transportation"",256,0)",271,0101000020E6100000FA7C31E75B6347C0C8258E3C106937C0,19615,125653,468864,1590
886,28,2,4633,Av. Marechal Tito,Centro/Bairro,Rua Caraipe das Águas,Grupo - Fixo B,V-A-P,3,2017/03/03 00:00:00.000,50 km/h,(-23.494599 -46.413845),1,,,,1005,0101000020E610000005590645FB3447C02897B7D6A17E37C0,16165,98839,1682182,1167
527,29,1,6740 - 6897,Av. Embaixador Macedo Soares,C.Branco / A. Senna,a menos 1m da R. Botocudos,Fixo - Grupo A,V-R-VER,4,2015/03/25 00:00:00.000,60/50 km/h,(-46.72279562111722839 -23.5136146285721459),1,,,"Symbol (62,19424,12,""MapInfo Transportation"",256,0)",636,0101000020E610000098C5DD83845C47C0C6AA5A357C8337C0,8720,121671,2327546,7559
179,30,1,6741,R. Inácio Luis da Costa,Centro/ Bairro,nº. 1.098,Fixo - Grupo A,V,3,2014/11/19 00:00:00.000,60 km/h,(-46.73254596149131856 -23.50834030993737755),1,,,"Symbol (62,19424,12,""MapInfo Transportation"",256,0)",272,0101000020E6100000DD34E811C45D47C0E2255192228237C0,1077,55040,892620,602
448,31,1,6761,Av. Raimundo Pereira de Magalhães,Centro/Bairro,nº. 5.374,Fixo - Grupo A,V,3,2014/10/25 00:00:00.000,50 km/h,(-46.72324432216545631 -23.48480544165957085),1,,,"Symbol (62,19424,12,""MapInfo Transportation"",256,0)",552,0101000020E6100000D869BD42935C47C0B0DA253F1C7C37C0,21101,12773,970304,138
576,32,1,6955 - 7090,Av Raimundo Pereira de Magalhães,C/B,x Av Deputado Cantidio Sampaio,Fixo - Grupo B,V-A-C,3,2016/12/01 00:00:00.000,50 km/h,(-23.434149 -46.719741),1,,,"Symbol (62,4718736,12,""MapInfo Transportation"",256,0)",687,0101000020E6100000CC65BC101F5C47C030EF71A6096F37C0,20165,162570,582725,3335
199,77,1,6882 - 6883,Av. Guilherme Cotching,Bairro/Centro,nº. 1.303,Fixo - Grupo A,V-EX,3,2015/07/28 00:00:00.000,50 km/h,(-46.58935533416164532 -23.51783283105546829),1,,,"Symbol (62,19424,12,""MapInfo Transportation"",256,0)",295,0101000020E6100000F65D11FC6F4B47C09896C3B4908437C0,342,14617,247029,73
